4,1
8,5
10,7
16,13
20,17
22,19
28,25
32,29
38,35
46,43
50,47
52,49
56,53
58,55
4,1
6,1
8,3
12,7
14,9
18,13
24,19
26,21
32,27
36,31
38,33
42,37
44,39
54,49
56,51
66,61
6,1
10,3
12,5
18,11
22,15
24,17
30,23
34,27
40,33
48,41
52,45
54,47
58,51
60,53
8,3
12,1
14,3
20,9
24,13
26,15
32,21
36,25
42,31
50,39
54,43
56,45
60,49
62,51
8,5
10,3
12,1
16,3
18,5
22,9
28,15
30,17
36,23
40,27
42,29
46,33
48,35
58,45
60,47
70,57
10,7
12,5
14,3
18,1
20,3
24,7
30,13
32,15
38,21
42,25
44,27
48,31
50,33
60,43
62,45
72,55
12,7
16,3
18,1
24,5
28,9
30,11
36,17
40,21
46,27
54,35
58,39
60,41
64,45
66,47
14,9
18,5
20,3
26,3
30,7
32,9
38,15
42,19
48,25
56,33
60,37
62,39
66,43
68,45
16,13
18,11
20,9
24,5
26,3
30,1
36,7
38,9
44,15
48,19
50,21
54,25
56,27
66,37
68,39
78,49
18,13
22,9
24,7
30,1
34,3
36,5
42,11
46,15
52,21
60,29
64,33
66,35
70,39
72,41
20,17
22,15
24,13
28,9
30,7
34,3
40,3
42,5
48,11
52,15
54,17
58,21
60,23
70,33
72,35
82,45
22,19
24,17
26,15
30,11
32,9
36,5
42,1
44,3
50,9
54,13
56,15
60,19
62,21
72,31
74,33
84,43
24,19
28,15
30,13
36,7
40,3
42,1
48,5
52,9
58,15
66,23
70,27
72,29
76,33
78,35
26,21
30,17
32,15
38,9
42,5
44,3
50,3
54,7
60,13
68,21
72,25
74,27
78,31
80,33
28,25
30,23
32,21
36,17
38,15
42,11
48,5
50,3
56,3
60,7
62,9
66,13
68,15
78,25
80,27
90,37
32,27
36,23
38,21
44,15
48,11
50,9
56,3
60,1
66,7
74,15
78,19
80,21
84,25
86,27
32,29
34,27
36,25
40,21
42,19
46,15
52,9
54,7
60,1
64,3
66,5
70,9
72,11
82,21
84,23
94,33
36,31
40,27
42,25
48,19
52,15
54,13
60,7
64,3
70,3
78,11
82,15
84,17
88,21
90,23
38,33
42,29
44,27
50,21
54,17
56,15
62,9
66,5
72,1
80,9
84,13
86,15
90,19
92,21
38,35
40,33
42,31
46,27
48,25
52,21
58,15
60,13
66,7
70,3
72,1
76,3
78,5
88,15
90,17
100,27
42,37
46,33
48,31
54,25
58,21
60,19
66,13
70,9
76,3
84,5
88,9
90,11
94,15
96,17
44,39
48,35
50,33
56,27
60,23
62,21
68,15
72,11
78,5
86,3
90,7
92,9
96,13
98,15
46,43
48,41
50,39
54,35
56,33
60,29
66,23
68,21
74,15
78,11
80,9
84,5
86,3
96,7
98,9
108,19
50,47
52,45
54,43
58,39
60,37
64,33
70,27
72,25
78,19
82,15
84,13
88,9
90,7
100,3
102,5
112,15
52,49
54,47
56,45
60,41
62,39
66,35
72,29
74,27
80,21
84,17
86,15
90,11
92,9
102,1
104,3
114,13
54,49
58,45
60,43
66,37
70,33
72,31
78,25
82,21
88,15
96,7
100,3
102,1
106,3
108,5
56,51
60,47
62,45
68,39
72,35
74,33
80,27
84,23
90,17
98,9
102,5
104,3
108,1
110,3
56,53
58,51
60,49
64,45
66,43
70,39
76,33
78,31
84,25
88,21
90,19
94,15
96,13
106,3
108,1
118,9
58,55
60,53
62,51
66,47
68,45
72,41
78,35
80,33
86,27
90,23
92,21
96,17
98,15
108,5
110,3
120,7
66,61
70,57
72,55
78,49
82,45
84,43
90,37
94,33
100,27
108,19
112,15
114,13
118,9
120,7
